id,tenure_years,nb_prod_act,pow_max,cons_12m,net_margin,has_gas_flag,days_to_contract_end,churn_probability,risk_rank,risk_decile
1b337781a10c8387817a4623783ca351,4,1,24.0,140028,738.0,0,153,0.6626320385148547,1,1
7fa519c9be32a4af772b73c67e03b50d,4,1,41.5,128239,734.88,0,32,0.6600053157426429,2,1
f83c1ab1ca1d1802bb1df4d72820243c,3,1,30.0,66383,669.18,0,124,0.6593400253282479,3,1
34cf6fff561a46bba348a5480e469884,3,1,80.0,194178,1109.1,0,345,0.6584984774717748,4,1
b0ecc107ec5c6ea99eb2eead66797871,4,2,21.0,4178,50.89,0,140,0.6524819522555604,5,1
8716c63c75820356b50d059b23a9615a,3,4,35.0,13329,90.16,1,202,0.647682903647766,6,1
fdebf90d9ad0e90cdc34d198c3fbbe0f,3,2,34.641,11493,146.7,1,94,0.6451204462913287,7,1
4b8302651365380844efa445830c42aa,3,1,35.0,9558,177.88,0,122,0.6449030067126104,8,1
9244e7a421c7d52510f360d49d4f47ea,3,1,10.392,1711,239.56,0,88,0.6448100162070807,9,1
29845e1854e52db86e76bacaf298e2ca,3,1,18.41,43652,1987.83,0,30,0.6437350624056173,10,1
2209816a40e6fdcb1e1f8f8cf98557fb,3,1,25.0,10607,154.64,0,8,0.6429179725185379,11,1
21f6a6ae5c67ff4f9b2d1bf1c959e675,3,1,17.86,34760,362.81,0,136,0.6429043155668676,12,1
7877a2872a5e50bbc1a2e54702fe2c91,3,1,47.0,80461,902.98,0,346,0.6428987770392431,13,1
130b726a2d6f86c97abdede718efc886,3,1,19.8,328,64.78,0,194,0.6426878837958688,14,1
17de083318fe87827b2b42c137a3bc75,3,2,25.0,388574,710.73,1,346,0.6405021032816669,15,1
904b20b1a37ee824e02b3def266e3be3,4,1,19.71,8303,111.08,0,84,0.6398646490294486,16,1
39399ffbee2eec9bfd6cc6c3d4ab76ec,3,1,34.641,8382,475.7,0,50,0.6396854946698101,17,1
9d6ada1917a9147adb410d461ca6144b,3,1,63.0,75671,788.15,0,339,0.6369530027470658,18,1
88abbe0a03ed77b91ce20abeae11a798,3,1,10.392,1224,169.53,0,54,0.6364219658152668,19,1
6faeddd3907b86e21cdeb9630d2a6cdc,3,1,16.5,54973,334.5,0,135,0.6345139322735744,20,1
22c99d0343c03cba38d12220fa1dae22,3,1,19.8,10317,78.01,0,134,0.6341750150509792,21,1
27a0c87880b2169c49c9419bb2cb0645,3,1,17.25,30817,300.72,0,107,0.6339100213970353,22,1
26130b28d4567a025e7427ec062efc0d,3,1,20.75,4028,36.06,0,73,0.6330806155601119,23,1
bac4b2732d71b4e00dd6b489f9de9ccb,3,1,17.320999999999998,11533,145.15,0,362,0.6320600112545635,24,1
e7bdc7743d73a9bf94cc3c6a293fca93,4,1,29.5,59935,2711.19,0,75,0.631903787558626,25,1
9c64b5f7f3b70ec73adb2a5c23257e6f,4,1,19.398,5890,109.49,0,143,0.6301323814693257,26,1
47a84301f61c9e35a90c5afca0bc7ab7,2,1,19.8,25352,296.04,0,201,0.6287147324475484,27,1
c8b49ef83d55d388f47d358a386af876,4,1,19.8,9920,117.2,0,136,0.6283548102844151,28,1
1fe90c1d5c7e023eff90fea8a41af093,3,1,13.856,909,160.13,0,78,0.6280288847392247,29,1
58c20a5f625974b5ddd76f6f5b4b69cb,3,1,25.0,10182,136.08,0,15,0.6274857808976368,30,1
1b81aead95fd585bba10757185b62280,3,1,17.320999999999998,6236,87.46,0,286,0.6272107699508971,31,1
0e591e5c76639dacec7d23170fda6844,4,1,20.7,4244,31.31,0,32,0.6271237058106988,32,1
568d5bae3212cae9a7ae929df10312cf,4,1,20.78,9935,0.0,0,355,0.627117671312754,33,1
9f080126baa731baf2fb5535ab8f067d,3,1,70.0,64103,564.8,0,354,0.6270015237249841,34,1
0435181ca2760b517b027a310fec5b98,4,1,19.745,2026,14.3,0,355,0.6243814945068225,35,1
768970ef5cadfed000b8b407defb90cd,3,1,32.85,67662,797.53,0,280,0.6237567319986865,36,1
479da5e8e1cefadc2c3e976d9e8ba8c9,4,1,26.0,14373,177.82,0,110,0.6236120470124423,37,1
5d7bf818c303476b7a9e44b1ada7d674,4,1,19.9,59387,124.14,0,153,0.6234999033781983,38,1
db27eaabb61a05529b25c5247906e03c,3,1,15.001,11278,163.38,0,93,0.6232623664461638,39,1
7d7bf82f7e03d9e7f60813ac3e638e94,3,1,17.32,17827,275.05,0,23,0.6231533990346076,40,1
2eeff76149b412fed5dfa71eb81bcc98,3,1,27.713,32075,398.77,0,349,0.6225261215906076,41,1
a7387dd088275ab507dbcf8f27188607,3,1,20.78,46759,266.72,0,186,0.6220629471671401,42,1
8e0120f5f4cea61e0c4583e0f9f63647,4,1,17.32,22155,243.0,0,184,0.6216932204657024,43,1
fe0effe462cf851ec58677332fb8e02c,4,1,27.7,9935,88.27,0,355,0.621618671988675,44,1
5f5c9d32b685b653baec9302c3d87550,4,1,17.320999999999998,6292,67.65,0,42,0.621502971320878,45,1
c11b8c59a331b9d01768c90d240a9347,3,2,27.6,128945,510.53,1,362,0.6213898910443778,46,1
a2a942827aa15106aa8e84eff1571788,4,1,60.0,222975,1286.57,0,25,0.6209686269246684,47,1
3599604f49b3768610c0fc8b2f52ea51,3,1,25.88,7025,87.04,0,202,0.6207867365020309,48,1
7e2763333b4aa4bec80cb0127afc1361,3,1,25.097,34575,461.22,0,151,0.6202376222829571,49,1
dd044ab454732ae5972ad7065a4404f5,4,1,26.0,25802,283.51,0,3,0.6199536433130228,50,1
b1b88ad5337b366a8119f18df3653a86,3,1,41.467,40586,533.85,0,128,0.6189787061006299,51,1
836a15d4c3b2a8d51b7ac210ca086984,3,1,26.4,12235,150.07,0,365,0.6189176056207945,52,1
cd66b6bba3aec72b9b65efd273a43398,4,1,27.321,60062,644.48,0,349,0.6187985742142396,53,1
f323ab07b3d923c50d2342a47c34e989,3,1,17.320999999999998,21855,238.43,0,363,0.6187510337605255,54,1
44eed234ed9839da60e00b087320ac1a,3,1,20.785,14316,162.1,0,347,0.618727410932015,55,1
a8909ca0c4a85f075fc91b55a68cd11c,3,1,17.320999999999998,97894,6.12,0,53,0.6175479384727275,56,1
a9f05668b3deb6a8f82d09d7d5dcebdc,4,1,17.35,11474,94.12,0,348,0.6169632584015017,57,1
ebe579f19a0a40ded74a6a5fb246c438,4,1,19.8,4332,43.99,0,143,0.6158655002598828,58,1
c915814230980a756acbf73976debeb9,3,1,26.6,8763,122.64,0,254,0.6156107264709781,59,1
ffa2f5d8f3f34ba440c4cd50e3216916,3,1,15.001,12125,132.38,0,93,0.6155142517247884,60,1
352fa0ef0fdb3c21328ef497c78ffa06,3,1,20.785,572228,604.41,0,137,0.6154984762056892,61,1
83515b52f90127e522ead3c74419de9c,3,2,26.4,86500,533.04,1,128,0.6154168752153858,62,1
a9067af5f92a309fd2ed38c2e39de5c4,3,2,24.15,18106,292.3,1,67,0.6153738430452739,63,1
00bf3995126e432218c5a50ba3d03546,3,1,23.1,17064,205.47,0,208,0.6152295672911445,64,1
4134a103e1a66c5ba69ab608d5e54096,4,1,16.5,32804,329.59,0,20,0.6152164622329328,65,1
0c001227ddc8c75399821ddefd668871,4,1,17.320999999999998,13710,168.47,0,348,0.6148394598305147,66,1
32767c4e17645b50abc97aa087ec8bb1,4,1,23.1,23929,301.06,0,83,0.6148354483505789,67,1
62adafe742be7330ea6de624815fae48,4,1,17.32,5933,62.07,0,133,0.6148279667368816,68,1
0bfc9e2d44c6b39e6b0e357481f602f0,3,1,15.5,19244,242.52,0,66,0.6145144100076225,69,1
aa05443c0f9279204914a8f2377c3da4,3,1,23.036,16357,200.54,0,362,0.6143971105722422,70,1
6ecd593f1eece8fa64ac76852b773917,4,3,25.0,182878,1022.23,1,300,0.6139536392652719,71,1
1d8e17bf13218e671e968871e0c6373f,4,2,24.248,8841,108.61,0,363,0.613933455040146,72,1
9fd23639d31247c2e115689027b2c5db,4,1,90.0,337760,1888.11,0,27,0.6138310798753567,73,1
ab3dea5cf349abfa77161a8cb1f1e662,3,2,31.5,10901,123.98,1,122,0.6138085520612137,74,1
2396427689a9a67ee3bb339af5116b3d,3,1,17.320999999999998,3488,46.24,0,17,0.6136705165034412,75,1
a8ae4eee59a37685dcc0bde8042769a5,4,1,20.0,50086,551.78,0,204,0.6135821299231242,76,1
62b0996549a9f6047ed6037be51bca51,3,2,15.5,5162,65.06,1,131,0.6135633068262895,77,1
f663b6cc47b037fb6d49bcf0e99a3020,3,2,30.0,69286,710.5,1,346,0.613123036038621,78,1
62337f8e17f9447262214d2af0b9f4ae,4,1,25.0,8878,126.91,0,327,0.6130691869336304,79,1
5e7620d4e0c608b19f8646abbecc920b,4,1,16.5,10687,120.33,0,322,0.6129853870630307,80,1
d67e76d10996be425947b558741c35c0,3,1,33.0,7234,83.06,0,284,0.6127653222978693,81,1
6363bc245cedffe9f95328e85e1d39b0,4,2,17.0,20559,287.81,1,130,0.6126960528422227,82,1
61e9428581049a707c2755e96f1ea99e,4,4,15.1,1514,12.43,1,181,0.6124865933724761,83,1
298619a8a677d264ef12304f32ad5e98,4,2,25.097,55611,559.15,1,40,0.6122216632500972,84,1
5d00d51874dc8707cf27c63763b48c29,4,2,25.0,17662,314.63,1,146,0.611939438768625,85,1
a83153c158b3e396f970da581a3e5e93,4,1,41.5,12235,137.2,0,8,0.6118401598789596,86,1
d00e8a9951b5551d8f02e45f9ed2b0dd,3,1,50.0,290003,10203.5,0,284,0.6117623625296306,87,1
2e919eb3efb9eb8c1cf5d33a88c2fd5e,3,1,23.1,7324,83.51,0,299,0.611683377599584,88,1
280e5b96989ea86ee9a99698ffe81ba1,4,2,27.71,3870,48.43,1,361,0.6114206686730654,89,1
224b26985c13be8a783088175ff6a79e,3,2,60.0,95552,958.06,1,135,0.6111801560754377,90,1
fc8f5dfb1f78124502c0ba26d15e6093,4,1,20.785,13628,158.69,0,131,0.611138721055478,91,1
d0ea3166c6a9cd87a93a4545e1f7bd78,3,1,44.0,9095,134.77,0,23,0.6111115788847027,92,1
ed2a4b8e07d91b29465b8b09933ab960,4,1,200.0,182830,545.27,0,357,0.6110821591896879,93,1
83266f00f2168a367ae888aa72202658,4,1,40.0,46231,347.77,0,184,0.6110523563725553,94,1
c0007577f485e5b37165c93c252b7f80,4,1,20.0,13844,173.43,0,129,0.611015331175152,95,1
b0adb9ac49f2f6a1f562b378a4f01138,4,1,22.0,46486,544.32,0,260,0.6108632955180621,96,1
e95f1188dbc7247fbc0104d283e22dfe,4,1,108.0,401088,1857.4,0,25,0.6107904310255067,97,1
5cfcac16bf76d95edd04209bfbff0895,3,1,51.0,29669,341.73,0,129,0.6107709699399614,98,1
783f1cd24ba3067c77f24b085632ef79,4,1,19.8,1251,15.74,0,24,0.6107525034550194,99,1
63b387f9b15aa773774eeb21973a6f61,4,1,20.0,10421,132.43,0,358,0.6107453384287678,100,1
3bbbdff45250c760abf8bc33f92fb819,4,2,25.0,42205,423.42,0,211,0.6106173687211124,101,1
a7b9672920e8a24be67868634e00ab74,4,2,29.7,64960,750.5,1,320,0.6105888459662326,102,1
eded4a622b6ca5113ff91ed1e398dafe,3,1,27.71,8103,102.18,0,339,0.6105475480144872,103,1
0ae229ae741980a66b99642d4d83cdc8,4,2,19.8,25688,304.75,1,363,0.6104275496683893,104,1
09dac4dd0cc43f6b6fd432094b66e3da,4,1,46.0,17777,188.89,0,2,0.6103866001982415,105,1
a5cb74bb90c992a62bfc6b8a7c0db94b,4,1,43.646,8624,109.91,0,191,0.6103023999725516,106,1
0fc0574e030da230810095b10843087f,4,1,24.8,9710,125.94,0,315,0.6101485941448236,107,1
9c4d52856aa5fbfd3dd6bf07f472c6cc,4,1,26.3,3967,67.04,0,68,0.6101451204524047,108,1
9d860782b2d210345231cb660828b48a,4,1,23.1,9456,117.9,0,285,0.6099685994235726,109,1
818b8bca0a9d7668252d46b978169325,4,1,25.0,95505,4346.37,0,29,0.6098437659902066,110,1
8207b8396c6a4cbb0c0c68a3974ce1b9,3,1,22.0,12772,166.83,0,123,0.6098278894904493,111,1
866073d4f02819c6fb2bda87c9f263cf,3,1,8.8,18896,195.82,0,14,0.6098054571975234,112,1
0ccc2948934ae51df8fb79d2f7ea4304,4,2,20.0,39446,266.73,0,239,0.6097207886342694,113,1
348f896dcb88f193cfdca1f9ca9e4529,4,2,17.320999999999998,7575,51.77,0,161,0.6096266281293238,114,1
ba593ff0f75ffdd24b54ebab54d7ea5f,4,1,18.0,35153,60.75,0,348,0.6093407488788604,115,1
3d22f293745a0222d0b2d4223bf769be,4,1,20.7,12195,148.06,0,89,0.609295899368187,116,1
f4813dc46146e4b7b9f1934c6100b7d5,4,3,45.0,34125,435.32,1,136,0.6092823453990057,117,1
